"","topic1","topic2","topic3","project","projecttype"
"abwiki",0.000780640124902882,0.998438719750194,0.000780640124902816,"abwiki","Wikipedia"
"acewiki",0.998438719750195,0.000780640124902866,0.000780640124902655,"acewiki","Wikipedia"
"adywiki",0.945348722737298,0.0367944135298341,0.0178568637328685,"adywiki","Wikipedia"
"afwiki",0.995739380250793,0.00271014448052622,0.00155047526868095,"afwiki","Wikipedia"
"alswiki",0.977229610079852,0.00700203414406278,0.0157683557760851,"alswiki","Wikipedia"
"amwiki",0.726382448752896,0.176381132706772,0.0972364185403323,"amwiki","Wikipedia"
"angwiki",0.873053997548622,0.0233409567595552,0.103605045691823,"angwiki","Wikipedia"
"angwikibooks",0.00078064012490242,0.00078064012490242,0.998438719750195,"angwikibooks","Wikibooks"
"anwiki",0.949777776325229,0.0154996019898589,0.0347226216849125,"anwiki","Wikipedia"
"arcwiki",0.606737077720893,0.382360593318876,0.010902328960231,"arcwiki","Wikipedia"
"arwiki",9.07589609958779e-05,0.999873265587104,3.59754519001208e-05,"arwiki","Wikipedia"
"arwikibooks",0.000260807800867741,0.333335626083592,0.666403566115541,"arwikibooks","Wikibooks"
"arwikiquote",0.939549691695077,0.0586813107424495,0.0017689975624738,"arwikiquote","Wikiquote"
"arwikisource",0.0967430527448338,0.902668459345881,0.000588487909285443,"arwikisource","Wikisource"
"arzwiki",0.977773380680162,0.0189279692156755,0.00329865010416215,"arzwiki","Wikipedia"
"astwiki",0.931475525540782,0.00080810427813821,0.0677163701810797,"astwiki","Wikipedia"
"aswiki",0.99418989366369,0.00450145343176079,0.00130865290454958,"aswiki","Wikipedia"
"avwiki",0.117580787233358,0.861907821777797,0.0205113909888446,"avwiki","Wikipedia"
"aywiki",0.777123530110993,0.193117609111263,0.0297588607777439,"aywiki","Wikipedia"
"azbwiki",0.993667071770431,0.00337102966352057,0.00296189856604828,"azbwiki","Wikipedia"
"azwiki",0.998444411541171,0.000723104507505067,0.000832483951324173,"azwiki","Wikipedia"
"azwikiquote",0.948546802456996,0.0371148201450795,0.0143383773979245,"azwikiquote","Wikiquote"
"azwikisource",0.929864063063393,0.0585868197541094,0.0115491171824977,"azwikisource","Wikisource"
"barwiki",0.938811252509656,0.0178988444852078,0.0432899030051359,"barwiki","Wikipedia"
"bat_smgwiki",0.758711145225996,0.156230920005852,0.0850579347681519,"bat_smgwiki","Wikipedia"
"bawiki",0.317951432907686,0.676646783406122,0.00540178368619177,"bawiki","Wikipedia"
"bawikibooks",0.00078064012490242,0.00078064012490242,0.998438719750195,"bawikibooks","Wikibooks"
"bclwiki",0.945274175542275,0.0452236274192097,0.00950219703851508,"bclwiki","Wikipedia"
"be_x_oldwiki",0.534473401360956,0.464742629949403,0.000783968689640709,"be_x_oldwiki","Wikipedia"
"bewiki",0.160469073991852,0.838695699063584,0.000835226944563844,"bewiki","Wikipedia"
"bewikisource",0.998438719750195,0.000780640124902801,0.000780640124902525,"bewikisource","Wikisource"
"bgwiki",0.997499951829593,0.0012096827685671,0.00129036540184003,"bgwiki","Wikipedia"
"bgwikibooks",0.00078064012490242,0.00078064012490242,0.998438719750195,"bgwikibooks","Wikibooks"
"bgwikiquote",0.975494429012113,0.00750093266700979,0.0170046383208776,"bgwikiquote","Wikiquote"
